authors,title,journal,volume,issue,year,pages,issn,doi,url,keywords,source_file,source_priority,doi_normalized,title_normalized,record_id,screening_stage,decision,exclusion_reason,is_survey,include_title_abstract,include_full_text,final_include
I. V. Bychkov; N. O. Dorodnykh; K. V. Tobola; A. Y. Yurin,A Framework for Semantic Annotation of Russian-Language Tables Using Deep Learning,IEEE Access,14,,2026.0,26476-26492,2169-3536,10.1109/ACCESS.2026.3665201,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11397329,Tabular data;Russian-language tables;semantic table interpretation;column annotation;knowledge graph;pre-trained language model;table pre-training;fine-tuning;contrastive learning,IEEE_results.csv,3,10.1109/access.2026.3665201,a framework for semantic annotation of russianlanguage tables using deep learning,307,Excluded,Excluded,Duplicate DOI,False,,,
X. Liang; Y. -M. Jasmina Khaw; S. -Y. Liew; T. -P. Tan; D. Qin,Efficient Chinese-Malay Speech-Text Translation via Layer-Freezing Adaptation of Multimodal Foundation Models,IEEE Access,13,,2025.0,81714-81724,2169-3536,10.1109/ACCESS.2025.3568474,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10994436,Chinese-Malay translation;parameter-efficient fine-tuning;layer freezing;multimodal corpus;low-resource languages,IEEE_results.csv,3,10.1109/access.2025.3568474,efficient chinesemalay speechtext translation via layerfreezing adaptation of multimodal foundation models,308,Excluded,Excluded,Duplicate DOI,False,,,
K. A. Khader; M. S. Hussein; A. S. Abu-Issa,"Adapting Large Language Models for Arabic: Comparative Evaluation, Fine-Tuning, and Ethical Deployment",IEEE Access,13,,2025.0,182621-182632,2169-3536,10.1109/ACCESS.2025.3623796,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11208575,Generative AI;large language models;Arabic NLP;model deployment;ethical AI;multilingual models;LLaMA;GPT;DeepSeek;Qwen,IEEE_results.csv,3,10.1109/access.2025.3623796,adapting large language models for arabic comparative evaluation finetuning and ethical deployment,309,Excluded,Excluded,Duplicate DOI,False,,,
I. Hussain; M. Rizwan Rizvi; Z. Abbas; A. N. Cheema; I. M. Almanjahie,MUST: An Explainable AI-Based Framework for Multilingual Hate Speech Detection,IEEE Access,13,,2025.0,202758-202778,2169-3536,10.1109/ACCESS.2025.3629527,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11230346,Urdu hate speech;Roman–Urdu hate speech;transfer learning;explainable AI;low-resource language;multilingual hate speech;cyber bullying;low resource language;large language model;machine learning;text analysis;cross lingual processing;natural language processing,IEEE_results.csv,3,10.1109/access.2025.3629527,must an explainable aibased framework for multilingual hate speech detection,310,Excluded,Excluded,Duplicate DOI,False,,,
"Ayesha Ayub Syed, Ford Lumban Gaol, Alfred Boediman, Widodo Budiharto",Airline reviews processing: Abstractive summarization and rating-based sentiment classification using deep transfer learning,International Journal of Information Management Data Insights,Volume 4,Issue 2,2024.0,100238,2667-0968,https://doi.org/10.1016/j.jjimei.2024.100238.,,Airline reviews; Domain adaptation; Opinion summarization; Review rating; Sentiment classification; Two-stage finetuning,ScinceDirector.csv,5,10.1016/j.jjimei.2024.100238,airline reviews processing abstractive summarization and ratingbased sentiment classification using deep transfer learning,512,Excluded,Excluded,Duplicate DOI,False,,,
"Ayesha Ayub Syed, Ford Lumban Gaol, Alfred Boediman, Widodo Budiharto",Airline reviews processing: Abstractive summarization and rating-based sentiment classification using deep transfer learning,International Journal of Information Management Data Insights,Volume 4,Issue 2,2024.0,100238,2667-0968,https://doi.org/10.1016/j.jjimei.2024.100238.,,Airline reviews; Domain adaptation; Opinion summarization; Review rating; Sentiment classification; Two-stage finetuning,ScinceDirector.csv,5,10.1016/j.jjimei.2024.100238,airline reviews processing abstractive summarization and ratingbased sentiment classification using deep transfer learning,513,Excluded,Excluded,Duplicate DOI,False,,,
"Szabina Fodor, Csaba Csáki, Andrea Kő",Beyond tickets and texts: Addressing challenges in AI-driven customer service,International Journal of Information Management Data Insights,Volume 6,Issue 1,2026.0,100395,2667-0968,https://doi.org/10.1016/j.jjimei.2026.100395.,,Natural language processing; Text analytics; Artificial intelligence; Customer service; Morphologically rich languages,ScinceDirector.csv,5,10.1016/j.jjimei.2026.100395,beyond tickets and texts addressing challenges in aidriven customer service,514,Excluded,Excluded,Duplicate DOI,False,,,
"Ayesha Ayub Syed, Ford Lumban Gaol, Alfred Boediman, Widodo Budiharto",Airline reviews processing: Abstractive summarization and rating-based sentiment classification using deep transfer learning,International Journal of Information Management Data Insights,Volume 4,Issue 2,2024.0,100238,2667-0968,https://doi.org/10.1016/j.jjimei.2024.100238.,,Airline reviews; Domain adaptation; Opinion summarization; Review rating; Sentiment classification; Two-stage finetuning,ScinceDirector.csv,5,10.1016/j.jjimei.2024.100238,airline reviews processing abstractive summarization and ratingbased sentiment classification using deep transfer learning,516,Excluded,Excluded,Duplicate DOI,False,,,
"Szabina Fodor, Csaba Csáki, Andrea Kő",Beyond tickets and texts: Addressing challenges in AI-driven customer service,International Journal of Information Management Data Insights,Volume 6,Issue 1,2026.0,100395,2667-0968,https://doi.org/10.1016/j.jjimei.2026.100395.,,Natural language processing; Text analytics; Artificial intelligence; Customer service; Morphologically rich languages,ScinceDirector.csv,5,10.1016/j.jjimei.2026.100395,beyond tickets and texts addressing challenges in aidriven customer service,517,Excluded,Excluded,Duplicate DOI,False,,,
"Ayesha Ayub Syed, Ford Lumban Gaol, Alfred Boediman, Widodo Budiharto",Airline reviews processing: Abstractive summarization and rating-based sentiment classification using deep transfer learning,International Journal of Information Management Data Insights,Volume 4,Issue 2,2024.0,100238,2667-0968,https://doi.org/10.1016/j.jjimei.2024.100238.,,Airline reviews; Domain adaptation; Opinion summarization; Review rating; Sentiment classification; Two-stage finetuning,ScinceDirector.csv,5,10.1016/j.jjimei.2024.100238,airline reviews processing abstractive summarization and ratingbased sentiment classification using deep transfer learning,519,Excluded,Excluded,Duplicate DOI,False,,,
"Szabina Fodor, Csaba Csáki, Andrea Kő",Beyond tickets and texts: Addressing challenges in AI-driven customer service,International Journal of Information Management Data Insights,Volume 6,Issue 1,2026.0,100395,2667-0968,https://doi.org/10.1016/j.jjimei.2026.100395.,,Natural language processing; Text analytics; Artificial intelligence; Customer service; Morphologically rich languages,ScinceDirector.csv,5,10.1016/j.jjimei.2026.100395,beyond tickets and texts addressing challenges in aidriven customer service,520,Excluded,Excluded,Duplicate DOI,False,,,
"Benny G. Johnson, Rachel Van Campenhout, Bill Jerome, María Fernanda Castro, Rodrigo Bistolfi, Jeffrey S. Dittel",Automatic Question Generation for Spanish Textbooks: Evaluating Spanish Questions Generated with the Parallel Construction Method,International Journal of Artificial Intelligence in Education,Volume 35,Issue 3,2025.0,00394,1560-4292,https://doi.org/10.1007/s40593-024-00394-1.,,Parallel construction; Automatic question generation; Translation; Textbooks; Formative practice; Personalized learning,ScinceDirector.csv,5,10.1007/s40593-024-00394-1,automatic question generation for spanish textbooks evaluating spanish questions generated with the parallel construction method,521,Excluded,Excluded,Duplicate DOI,False,,,
"Iyer, Vivek; Malik, Bhavitvya; Zhu, Wenhao; Stepachev, Pavel; Chen, Pinzhen; Haddow, Barry; Birch, Alexandra;",Exploring very low-resource translation with LLMs: The University of Edinburgh’s submission to AmericasNLP 2024 translation task,Proceedings of the 4th Workshop on Natural Language Processing for Indigenous Languages of the Americas (AmericasNLP 2024),,,2024.0,209-220,,,,,ACL_result.csv,4,,exploring very lowresource translation with llms the university of edinburghs submission to americasnlp 2024 translation task,315,Excluded,Excluded,Duplicate title,False,,,
"Bayar, Alperen Enes; Ege, Mert; Yurtalan, Gökhan; Karamanlioglu, Alper; Demirel, Berkan; Cinbis, Ramazan Gokberk;",Building a Turkish Large Language Model via Continual Pre-Training and Parameter-Efficient Adaptation,Proceedings of the Second Workshop Natural Language Processing for Turkic Languages (SIGTURK 2026),,,2026.0,209-219,,,,,ACL_result.csv,4,,building a turkish large language model via continual pretraining and parameterefficient adaptation,318,Excluded,Excluded,Duplicate title,False,,,
"Snegha, A; Sen, Sayambhu; Pasi, Piyush Singh; Singhania, Abhishek; Jyothi, Preethi;",Zero-Shot Cross-Lingual Transfer using Prefix-Based Adaptation,Proceedings of the 5th Workshop on Multilingual Representation Learning (MRL 2025),,,2025.0,385-396,,,,,ACL_result.csv,4,,zeroshot crosslingual transfer using prefixbased adaptation,325,Excluded,Excluded,Duplicate title,False,,,
"Kumar, Rishabh; Krishna, Amrith; Ramakrishnan, Ganesh; Jyothi, Preethi;",Post-ASR Correction in Hindi: Comparing Language Models and Large Language Models in Low-Resource Scenarios,Proceedings of the 19th Conference of the European Chapter of the Association for Computational Linguistics (Volume 2: Short Papers),,,2026.0,636-645,,,,,ACL_result.csv,4,,postasr correction in hindi comparing language models and large language models in lowresource scenarios,350,Excluded,Excluded,Duplicate title,False,,,
"Sakajo, Haruki; Ide, Yusuke; Vasselli, Justin; Sakai, Yusuke; Tian, Yingtao; Kamigaito, Hidetaka; Watanabe, Taro;",Dictionaries to the Rescue: Cross-Lingual Vocabulary Transfer for Low-Resource Languages Using Bilingual Dictionaries,Findings of the Association for Computational Linguistics: ACL 2025,,,2025.0,25963-25976,,,,,ACL_result.csv,4,,dictionaries to the rescue crosslingual vocabulary transfer for lowresource languages using bilingual dictionaries,353,Excluded,Excluded,Duplicate title,False,,,
"Coleman, Jared; Rosales, Ruben; Toal, Kira; Cuadros, Diego; Leeds, Nicholas; Krishnamachari, Bhaskar; Iskarous, Khalil;",Comparing LLM-Based Translation Approaches for Extremely Low-Resource Languages,Proceedings for the Ninth Workshop on Technologies for Machine Translation of Low Resource Languages (LoResMT 2026),,,2026.0,49-68,,,,,ACL_result.csv,4,,comparing llmbased translation approaches for extremely lowresource languages,365,Excluded,Excluded,Duplicate title,False,,,
"Su, Jim; Ho, Justin; Broadwell, George; Moeller, Sarah; Dorr, Bonnie;",A comparison of fine-tuning and in-context learning for clause-level morphosyntactic alternation,Proceedings of the 4th Workshop on Natural Language Processing for Indigenous Languages of the Americas (AmericasNLP 2024),,,2024.0,179-187,,,,,ACL_result.csv,4,,a comparison of finetuning and incontext learning for clauselevel morphosyntactic alternation,369,Excluded,Excluded,Duplicate title,False,,,
"Nahin, Shahriar Kabir; Nandi, Rabindra Nath; Sarker, Sagor; Muhtaseem, Quazi Sarwar; Kowsher, Md; Shill, Apu Chandraw; Ibrahim, Md; Menon, Mehadi Hasan; Al Muntasir, Tareq; Alam, Firoj;",TituLLMs: A Family of Bangla LLMs with Comprehensive Benchmarking,Findings of the Association for Computational Linguistics: ACL 2025,,,2025.0,24922-24940,,,,,ACL_result.csv,4,,titullms a family of bangla llms with comprehensive benchmarking,371,Excluded,Excluded,Duplicate title,False,,,
"Yadav, Dipendra; Suravee, Sumaiya; Kemnitz, Stefan; Strauß, Tobias; Yordanova, Kristina;",Prompt Engineering for Nepali NER: Leveraging Hindi-Capable LLMs for Low-Resource Languages,Proceedings of the 15th International Conference on Recent Advances in Natural Language Processing-Natural Language Processing in the Generative AI Era,,,2025.0,1364-1373,,,,,ACL_result.csv,4,,prompt engineering for nepali ner leveraging hindicapable llms for lowresource languages,382,Excluded,Excluded,Duplicate title,False,,,
"Imani, Ayyoob; Lin, Peiqin; Kargaran, Amir Hossein; Severini, Silvia; Sabet, Masoud Jalili; Kassner, Nora; Ma, Chunlan; Schmid, Helmut; Martins, André FT; Yvon, François;",Glot500: Scaling multilingual corpora and language models to 500 languages,Proceedings of the 61st Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),,,2023.0,1082-1117,,,,,ACL_result.csv,4,,glot500 scaling multilingual corpora and language models to 500 languages,389,Excluded,Excluded,Duplicate title,False,,,
"Tejaswi, Atula; Gupta, Nilesh; Choi, Eunsol;",Exploring design choices for building language-specific LLMs,Findings of the Association for Computational Linguistics: EMNLP 2024,,,2024.0,10485-10500,,,,,ACL_result.csv,4,,exploring design choices for building languagespecific llms,390,Excluded,Excluded,Duplicate title,False,,,
"Lu, Yinquan; Zhu, Wenhao; Li, Lei; Qiao, Yu; Yuan, Fei;",Llamax: Scaling linguistic horizons of llm by enhancing translation capabilities beyond 100 languages,Findings of the Association for Computational Linguistics: EMNLP 2024,,,2024.0,10748-10772,,,,,ACL_result.csv,4,,llamax scaling linguistic horizons of llm by enhancing translation capabilities beyond 100 languages,391,Excluded,Excluded,Duplicate title,False,,,
"Laiyk, Nurkhan; Orel, Daniil; Joshi, Rituraj; Goloburda, Maiya; Wang, Yuxia; Nakov, Preslav; Koto, Fajri;",Instruction tuning on public government and cultural data for low-resource language: a case study in Kazakh,Proceedings of the 63rd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),,,2025.0,14509-14538,,,,,ACL_result.csv,4,,instruction tuning on public government and cultural data for lowresource language a case study in kazakh,398,Excluded,Excluded,Duplicate title,False,,,
"Rathore, Vipul Kumar; Deb, Aniruddha; Chandresh, Ankish Kumar; Singla, Parag;",SSP: Self-Supervised Prompting for Cross-Lingual Transfer to Low-Resource Languages using Large Language Models,Findings of the Association for Computational Linguistics: EMNLP 2024,,,2024.0,15081-15102,,,,,ACL_result.csv,4,,ssp selfsupervised prompting for crosslingual transfer to lowresource languages using large language models,408,Excluded,Excluded,Duplicate title,False,,,
"Köse, Süha Kağan; Baytekin, Mehmet Can; Aktaş, Burak; Görür, Bilge Kaan; Munis, Evren Ayberk; Yılmaz, Deniz; Kartal, Muhammed Yusuf; Toraman, Cagri;",RAGTurk: Best Practices for Retrieval Augmented Generation in Turkish,Proceedings of the Second Workshop Natural Language Processing for Turkic Languages (SIGTURK 2026),,,2026.0,179-196,,,,,ACL_result.csv,4,,ragturk best practices for retrieval augmented generation in turkish,420,Excluded,Excluded,Duplicate title,False,,,
"Creangă, Claudiu; Dinu, Liviu P;",LLM-as-a-Judge for Low-Resource Languages: Adapting Ragas and Comparative Ranking for Romanian,Proceedings of the Second Workshop on Language Models for Low-Resource Languages (LoResLM 2026),,,2026.0,157-167,,,,,ACL_result.csv,4,,llmasajudge for lowresource languages adapting ragas and comparative ranking for romanian,430,Excluded,Excluded,Duplicate title,False,,,
"Vidal-Gorène, Chahan; Kindt, Bastien; Cafiero, Florian;","Under-resourced studies of under-resourced languages: lemmatization and POS-tagging with LLM annotators for historical Armenian, Georgian, Greek and Syriac",Proceedings of the Second Workshop on Language Models for Low-Resource Languages (LoResLM 2026),,,2026.0,324-334,,,,,ACL_result.csv,4,,underresourced studies of underresourced languages lemmatization and postagging with llm annotators for historical armenian georgian greek and syriac,451,Excluded,Excluded,Duplicate title,False,,,
"Tairu, Zainab; Adebesin, Aramide;",Evaluating Retrieval-Augmented Generation for Medication Question Answering on Nigerian Drug Labels in Yorùbá,Proceedings of the Second Workshop on Language Models for Low-Resource Languages (LoResLM 2026),,,2026.0,90-97,,,,,ACL_result.csv,4,,evaluating retrievalaugmented generation for medication question answering on nigerian drug labels in yorùbá,455,Excluded,Excluded,Duplicate title,False,,,
"Li, Bryan; Luo, Fiona; Haider, Samar; Agashe, Adwait; Li, Siyu; Liu, Runqi; Miao, Miranda Muqing; Ramakrishnan, Shriya; Yuan, Yuan; Callison-Burch, Chris;",Multilingual retrieval augmented generation for culturally-sensitive tasks: A benchmark for cross-lingual robustness,Findings of the Association for Computational Linguistics: ACL 2025,,,2025.0,4215-4241,,,,,ACL_result.csv,4,,multilingual retrieval augmented generation for culturallysensitive tasks a benchmark for crosslingual robustness,456,Excluded,Excluded,Duplicate title,False,,,
"Nerea, Mulubrhan Abebe; Yadeta, Debela Desalegn; Geremew10, Derartu Dagne;",ProverbEval: Exploring LLM Evaluation Challenges for Low-resource Language Understanding,,,,,,,,,,ACL_result.csv,4,,proverbeval exploring llm evaluation challenges for lowresource language understanding,464,Excluded,Excluded,Duplicate title,False,,,
"Tao, Mingxu; Zhang, Chen; Huang, Quzhe; Ma, Tianyao; Huang, Songfang; Zhao, Dongyan; Feng, Yansong;",Unlocking the potential of model merging for low-resource languages,Findings of the Association for Computational Linguistics: EMNLP 2024,,,2024.0,8705-8720,,,,,ACL_result.csv,4,,unlocking the potential of model merging for lowresource languages,472,Excluded,Excluded,Duplicate title,False,,,
"Shen, Lingfeng; Tan, Weiting; Chen, Sihao; Chen, Yunmo; Zhang, Jingyu; Xu, Haoran; Zheng, Boyuan; Koehn, Philipp; Khashabi, Daniel;",The language barrier: Dissecting safety challenges of llms in multilingual contexts,Findings of the Association for Computational Linguistics: ACL 2024,,,2024.0,2668-2680,,,,,ACL_result.csv,4,,the language barrier dissecting safety challenges of llms in multilingual contexts,488,Excluded,Excluded,Duplicate title,False,,,
"Basoz, Merve; Horne, Andrew; Opper, Mattia;",Bootstrapping Embeddings for Low Resource Languages,Proceedings of the Second Workshop on Language Models for Low-Resource Languages (LoResLM 2026),,,2026.0,408-425,,,,,ACL_result.csv,4,,bootstrapping embeddings for low resource languages,498,Excluded,Excluded,Duplicate title,False,,,
"Gurgurov, Daniil; Vykopal, Ivan; van Genabith, Josef; Ostermann, Simon;","Small models, big impact: efficient corpus and graph-based adaptation of small multilingual language models for low-resource languages",Proceedings of the 63rd Annual Meeting of the Association for Computational Linguistics (Volume 4: Student Research Workshop),,,2025.0,355-395,,,,,ACL_result.csv,4,,small models big impact efficient corpus and graphbased adaptation of small multilingual language models for lowresource languages,503,Excluded,Excluded,Duplicate title,False,,,
"Miyano, Ryota; Arase, Yuki;",Adaptive lora merge with parameter pruning for low-resource generation,Findings of the Association for Computational Linguistics: ACL 2025,,,2025.0,19353-19366,,,,,ACL_result.csv,4,,adaptive lora merge with parameter pruning for lowresource generation,506,Excluded,Excluded,Duplicate title,False,,,
